job_title,job_description,requirements
"Head of Artificial Intelligence","We are seeking a Head of AI to join a forward-thinking energy infrastructure organization at the forefront of the energy transition. This company plays a critical role in ensuring the safe, reliable, and affordable distribution of energy to millions of customers while embracing innovative solutions to modernize its operations and support the transition to renewable energy sources. Our client manages critical infrastructure, including extensive electricity and gas networks, and supports the broader energy market through cutting-edge digital and operational solutions. With a strong commitment to sustainability and innovation, they are focused on advancing the energy transition through collaboration, efficiency, and technological advancement. The Head of AI will establish and lead a Center of Excellence for AI, shaping the company’s strategy and application of AI-driven solutions across its operations. This pivotal role will involve: Defining and executing the AI strategy to align with organizational goals and industry advancements. Partnering with data and operational teams to identify opportunities for AI solutions that optimize energy distribution, predict maintenance needs, and enhance customer engagement. Championing AI adoption, fostering collaboration across departments, and building a culture of innovation. Driving the development and deployment of scalable, impactful AI technologies to modernize processes and enhance efficiency.","Key requirements:  Leadership Experience: Proven track record of building and leading an AI Center of Excellence or equivalent, with a minimum of 5-7 years in senior AI leadership roles. Technical Expertise: Deep understanding of AI, machine learning, and data science, with hands-on experience deploying large-scale AI solutions using tools like Python, TensorFlow, or cloud-based platforms. Demonstrated Impact: Success in implementing AI-driven solutions that delivered measurable business value, such as predictive maintenance, energy optimization, or operational efficiency improvements. Cross-Functional Collaboration: Strong ability to work with technical and non-technical teams, driving AI adoption and change management across the organization. Industry Knowledge: Experience in utilities, energy, or critical infrastructure sectors, with familiarity with challenges like sustainability and operational resilience. Education: Advanced degree (Master’s or Ph.D.) in AI, Data Science, or a related field."
"Solutions Architect","THE ROLE: As Solution Architect in the Global Implementation Practice team at Strada, you will play a critical role in ensuring the successful delivery of our Global Payroll projects. You will be responsible for the end-to-end technical solution, ensuring it aligns with client requirements and Strada best practices. RESPONSIBILITIES, Solution Architecture: Lead the development and implementation of the overall solution architecture, including integration strategies and data models,  Technical Leadership: Provide technical guidance to project teams and ensure adherence to best practices and standards,  Client Engagement: Lead client sessions to understand their business needs and translate them into technical solutions,  Problem-Solving: Identify and resolve complex issues, escalating as necessary,  Project Delivery: Contribute to project planning, execution, and delivery, ensuring timely and successful outcomes,  Stakeholder Management: Effectively communicate with stakeholders at all levels, including technical teams, project managers, and executives.","REQUIREMENTS: At least 5 years of experience in implementing and integrating global HR and Payroll solutions,  Familiarity with project implementation methodologies,  Knowledge of integration technologies and data mapping,  Excellent communication and problem-solving skills,  Strong analytical and critical thinking abilities,  Motivated to work in an international context with decentralized teams, Relevant bachelor’s degree, Fluent in written and spoken English."
"Growth Specialist - Tech Talent","This is a contract remote role for a Growth Specialist - Tech Talent at Project Brains. The Specialist will be responsible for account management & outreach in IT Services sector, consulting with clients on their talent needs, using digital tools to source & shortlist candidates, communicating effectively with candidates and clients, and managing the end-to-end client satisfaction process.","Qualifications: Tech Talent Sourcing, Recruitment Coordination, and Candidate Pipeline Management skills Experience in conducting interviews and assessing technical skills Knowledge of the tech industry and trends in talent acquisition Strong communication and interpersonal skills Ability to work independently and manage time effectively Experience with applicant tracking systems and recruitment tools Understanding of remote work dynamics and collaboration tools"
"Chief Venture Officer (EMEA)","Position Overview: We are seeking a Chief Venture Officer (EMEA) to lead investor relations across Emerging Markets, Europe, and Asia. Based preferably out of Dubai, this role will involve managing relationships with Limited Partners (LPs), institutional investors, and venture ecosystems in the region.  Additionally, this leader will serve as a Partner in our upcoming Emerging Markets Fund, driving investments and fostering collaborations in one of the world’s most dynamic regions for climate innovation.","Key Responsibilities: Investor Relations: Cultivate and expand relationships with LPs, family offices, and institutional investors across EMEA. Present investment opportunities and build alignment with investors' climate impact goals. Represent Cool Climate Collective at key events and forums in the region. Regional Venture Leadership: Act as the face of Cool Climate Collective within the EMEA venture ecosystem. Identify, evaluate, and build relationships with high-potential climate tech startups and entrepreneurs. Collaborate with regional partners to amplify deal flow and facilitate portfolio scaling. Fund Management and Strategy: Provide leadership for the Emerging Markets Fund, including strategy formulation, fundraising, and portfolio oversight. Partner with the broader team to align regional activities with global fund priorities. Act as a thought leader and ambassador, contributing to the advancement of the climate investment space."
"Customer Success Manager","We are looking for a Customer Success Manager to help secure the long-term success of our customers. You will provide support throughout their entire life cycle including deployment, training, and adoption. This role is essential in the success of ensuring that our clients are provided with a world-class experience and opportunities to further develop their business. The SevenRooms CS Team is the heartbeat of our customers. We are a diverse, global team working to help our customers meet their business goals through creative problem-solving, data and deep product knowledge, always with a customer centric approach. Our team is a group of empathetic relationship builders, curious minds, doers, thinkers, strategisers, and friendly humans. The passion we have for the SevenRooms mission makes it easy to be obsessed with our customers. You will report to our Senior Manager of Customer Success, EMEA. What You’ll Do: Customer Success Management: Manage your book of business ensuring strong customer health, adoption to achieve gross-and-net retention revenue targets, and identify upsell opportunities to pass to our account development teams. Develop success plans to ensure customer objectives are achieved with support from 7R product and service offerings. You’ll build strong, long-lasting relationships and become a trusted advisor with key stakeholders and executive sponsors. Data-Focus: Maintain data integrity to track key metrics, specifically ROI. You will then analyze your findings and make recommendations to optimize for maximum revenue. Technical Aptitude: Become an expert on the SevenRooms platform providing technical and business solutions; assisting with product adoption and optimization  Collaboration: Work seamlessly with various teams across SevenRooms to ensure we’re delivering quality and thoughtful products to our clients.","Who You Are: 4+ years of experience working in a Customer Success or Account Management role Excellent verbal and written communications skills Demonstrated ability to communicate, present, and influence credibly and effectively at all levels of the organization, including executive and C-level Experience building and implementing systems and process for internal communication Proven ability to manage multiple projects while paying attention to detail"
"Machine Learning Engineer","As a Machine Learning Engineer, you will develop models and algorithms to solve complex problems.","Master's degree in Computer Science; experience with Python and TensorFlow."
"VP of Enterprise Software Engineering (B2B)","Position Summary: As the Vice President of Engineering for Enterprise B2B Services, you will head the strategic development and execution of Property Finder’s client-facing applications and enterprise catalog services. This role demands a dynamic leader who will drive innovation and work closely with product teams to launch new solutions for clients and consumers. Your responsibilities include overseeing engineering managers and technical leads to deliver high-quality software adhering to modern architectural standards. This pivotal role necessitates strategic collaboration with product and technology executives to shape and realize the long-term technical vision. Key Responsibilities: Champion collaboration across product management, design, and engineering teams to develop innovative, market-leading enterprise services and data products, integrating AI technologies to enhance offerings.  Articulate and implement a long-term technical strategy that ensures the development of scalable, robust products while guiding technical decisions aligned with business objectives.  Mentor and guide engineering managers and technical leaders to boost team productivity, engagement, and overall performance.  Direct modernization efforts of legacy systems and accelerate the delivery of new product capabilities within B2B services, focusing on critical areas such as Enterprise Catalog Services, Client-Facing B2B Applications, and Agent Experience.  Oversee the deployment of web applications across multiple MENA countries, ensuring compliance with local regulations and tailoring solutions to meet diverse business needs.  Implement rigorous engineering processes and governance throughout the product development lifecycle, ensuring high-quality releases and effective execution of project timelines in collaboration with product management.  Foster a culture that attracts and retains top engineering talent, promotes inclusivity, and ensures external supplier relations and contract management are handled efficiently to support business goals. ","Required Experience: Minimum of 15 years in engineering leadership, managing expansive, geographically dispersed software engineering teams.  Demonstrated success in architecting and scaling exceptional engineering organizations.  Deep understanding of contemporary software engineering practices, architectural norms, and team dynamics.  Strong background in data products and AI technology landscapes.  Visionary in technology with a knack for balancing strategic imperatives with tactical needs.  Comprehensive experience overseeing the entire software development lifecycle of SaaS products.  Desirable Experience: Proficient in data-driven product development, machine learning, and cutting-edge technologies.  Expertise in cloud infrastructure, deployment platforms, and agile software development methodologies.  In-depth knowledge of security, privacy, and compliance within SaaS ecosystems, with practical experience in Property Finder’s technical stack, including Go, PHP, Python, Swift UI, Kotlin, React, AWS, and Kubernetes. "
"Technical Project Manager","We are seeking a highly skilled Project Manager with strong expertise in project management and experience in a technology-driven environment.  The ideal candidate will excel in supporting the CPO by following up on all developments and processes—not limited to product development but encompassing documentation, client interactions, commercial aspects, and more. The role goes beyond coding and development to include coordination and execution across all product-related activities.  While the CPO focuses on strategy and vision, the Project Manager ensures the execution and follow-up of plans based on the CPOs directives. RESPONSIBILITIES: Project Management: Lead and manage documentation projects, ensuring timely and high-quality delivery. Oversee the end-to-end process, from planning and execution to delivery and maintenance. Coordinate with cross-functional teams, including developers, business units, and stakeholders, to ensure documentation aligns with organizational goals. Track project progress, manage priorities, and ensure deadlines are met. Process Understanding and Coordination: Gain a deep understanding of complex technical, business and operational processes. Work closely with all departments to gather information, follow up on deliverables, and ensure consistency. Translate complex topics into clear, structured documents for various audiences. Support the integration of business and technical workflows into processes.","SKILLS AND QUALIFICATIONS: Mandatory: Bachelor’s degree in Business Administration, Project Management, Communications, or a related field. Minimum 8 years of experience in project management in a technology-driven organization. Strong understanding of business processes, data, and numbers. Proven ability to manage multiple projects simultaneously and deliver within deadlines. Exceptional communication and interpersonal skills. Proficiency in project management and collaboration tools (e.g., Jira, Trello, Confluence). Certification in Project Management (e.g., PMP, ScrumMaster) is preferred. Preferred Skills: Ability to coordinate across departments and manage stakeholder expectations effectively. Experience working with SaaS platforms, cloud technologies, or similar environments. Strong analytical skills to document and simplify complex processes. Organized, detail-oriented, and able to manage competing priorities efficiently. This role is suited for an individual who thrives in a fast-paced environment, excels at managing projects and processes, and can effectively bridge the gap between technical and business teams. It works directly with our CPO offering a unique opportunity to impact the organization at the highest level. The position comes with significant growth potential, making it an exciting prospect for a candidate looking to shape their future career within a dynamic and fast-growing company."
"Microsegmentation implementation specialist","Role Description: This is a contract hybrid role for a Microsegmentation Implementation Specialist at ZTS. The specialist will be responsible for implementing microsegmentation solutions, analyzing customer requirements, ensuring customer satisfaction, and providing effective communication. This role allows flexibility for some remote work.","Qualifications: Analytical Skills and Software Implementation expertise Effective Communication and Customer Service abilities Prior experience in ensuring Customer Satisfaction Knowledge of Zero Trust, SSE, ZTNA, and Identity and Access Management Experience in Data Leak Prevention and Passwordless solutions Ability to work independently and collaboratively Bachelor's degree in Computer Science, Information Technology, or related field"
"Learning Partner","Role Summary: We are looking for a Learning Partner who will be based in Dubai to deliver trainings on different platforms for our existing and new clients. Learning Partner responsibilities include conducting face-to-face trainings, preparing learning materials and evaluating results after each training session. For this role, you will work closely with our salespeople to identify clients who need support and arrange trainings when requested. Ultimately, you will help increase the overall understanding of our clients when utilising our different platforms.","Key Responsibilities: Delivering high quality trainings and continuously building good relationship with clients Recording tasks on Salesforce CRM when receiving training requests tickets  Achieving personal and team OKRs set by the company Supporting sales and customer care team when needed Evaluating clients knowledge after completing trainings Desired Experience: Bachelor's degree in education, business, human resources, information technology, or related field 2 years' previous experience as a trainer, corporate training specialist, or related position Able to multitask, prioritize and manage time efficiently Excellent verbal and written communication skills (English and Arabic) Ability to manage a full training session, including in-person activities and web-based learning.  Aptitude and desire to learn new tools and techniques quickly"
"Growth Business Development (Arabic)","Responsibilities: Formulate business development plans, assist the team to complete the introduction, negotiation, cooperation and signing of business cooperation projects Contact, negotiate and close profitable deals with potential KOL Support KOL and design special campaigns to increase KOL trading volume Build partnerships with KOL or crypto projects, promote cooperation with each other Conduct research to identify new markets and customer needs Build long-term relationships with new and existing KOL/clients","Requirements: Proven working experience as a business development manager or a relevant role Experience in channel development, market development Deep understanding of crypto markets is a plus Proficiency in English and Arabic."
"Publisher Manager","As a Publisher Manager, you will be responsible for onboarding new publishers across the following categories:  Coupon / loyalty / deals website Price comparison websites, product reviews website Mobile OEMs and/or Telcos Browsers (e.g. Opera, Brave, Vivaldi, etc…) or browser extensions (joinhoney, Wikibuy) Launchers, lock screen apps Other shopping apps, websites Influencers, or influencer platforms Any other supply relevant to e-commerce brands Build and optimize existing relationships by identifying and presenting new initiatives to publishers to improve performance and revenues. Monitor and analyze metrics and proactively take steps to improve results. Fully comprehend the technology, revenue ecosystem, and client needs/requirements in order to intelligently identify new opportunities and upsell the platform. Be available to answer brands' concerns, questions and requests. Strategically support the Sales team in pre-sale proposal development Travel as necessary to industry events.","What are we looking for? 4+ years of experience as an account manager or business development associate either with the publisher, agency or network. Knowledge and experience working with global affiliate networks such as AWIN, Impact, TradeDoubler, Partnerize, Rakuten, etc. Experience with performance marketing agencies such as Acceleration Partners, Gen3 Marketing, Silverbean, MediaCom and others. Strong written and verbal communication skills with a focus on negotiations and closing deals. Proficient in Excel/Sheet, including pivot tables, v-lookups, and formulas like sum, average, and customizing reports. Comfortable in a startup environment and take ownership to drive tasks to completion. Completion of the free PXA Certifications: Affiliate and Partnerships Industry Training for Partners - Associate & Expert Certifications Preferences will be given to candidates who have: Proven record of delivering results across the above segments. An existing book of business and/or experience building partnerships with brands in the US and EU markets. Strong communication skills in English. Ability to thrive in a fast-paced environment and enjoys bringing order to chaos."
"Senior Information Technology Project assistant","We are seeking a proactive Project Assistant to provide essential support to our project managers for our Sensus projects. This role involves a variety of tasks, including project tracking, administrative document management, and liaising with suppliers and customers. Key Responsibilities: Assist project managers in tracking project progress and timelines. Manage administrative tasks related to project documentation, ensuring accuracy and organization. Liaise with suppliers and customers to facilitate smooth communication and project execution. Help prepare reports and presentations for project updates. Support team members with various project-related activities as needed. Travel across the GCC as required to meet project demands and stakeholder needs.","Must-Have Requirements: Previous experience working in a projects team for software companies. Strong organizational and communication skills. Ability to travel across the GCC region. Preferred Qualifications: Familiarity with project management tools and software. Ability to multitask and work effectively in a fast-paced environment. A proactive and solution-oriented mindset."
"Business Development Director","About the Role: Join our pioneering team as a Business Development Director, spearheading the introduction of our A.I. platform to enterprises in the legal and financial industries in the Middle East. As the key individual contributor to the Business Development team, you will lead the charge in the entire sales cycle, strategically prospecting, engaging with decision-makers at all levels, and negotiating enterprise deals. This is a unique opportunity for a resourceful self-starter with an entrepreneurial mindset to make a significant impact in a new market for Alexa Translations - driving new business and establishing our brand in the Middle East. Our launch in Dubai forms the base of our coverage of the thriving Middle Eastern market. If you thrive on autonomy, prospecting, problem-solving, and achieving ambitious goals, we want you to be part of our international expansion journey at Alexa Translations. Responsibilities: Strategic prospecting and prioritizing high-opportunity prospects in Dubai and across the Middle East Building a solid pipeline of opportunities with a mix of near-term and longer-term close dates Managing the end-to-end sales cycle through active prospecting, handling inbound leads, and ensuring effective closure Documenting client communications in HubSpot, acting as the client's advocate and providing valuable feedback Ensuring a high client satisfaction advising on best practices and serving as a liaison between clients and internal teams Defining and tracking key performance indicators to assess the effectiveness of market expansion efforts Collaborating with team members and other departments to brainstorm and implement innovative go-to-market strategies in the Middle East Demonstrate creative thinking, handle pressure, and consistently meet monthly sales targets","Experience: 5+ years of demonstrated success in strategically selling to complex accounts, with a focus on the legal and financial sectors Full proficiency in professional-level English and Arabic required Previous experience building and expanding into new markets, specifically emphasizing successful market development in the Middle East Demonstrated capability to leverage existing professional networks or effective product selling Strong track record of successfully managing all aspects of the sales cycle Proven ability to manage and develop relationships with C-level executives and senior managers Proficiency in Microsoft Suite, Google Suite, and CRM software (HubSpot).  Verifiable track record of success in selling B2B SaaS solutions, a bonus"
